"","year","count"
"1",2000,2
"2",2001,18
"3",2002,88
"4",2003,855
"5",2004,2360
"6",2005,4022
"7",2006,2453
"8",2007,1913
"9",2008,1965
"10",2009,2210
"11",2010,2211
"12",2011,2331
"13",2012,1851
"14",2013,2451
"15",2014,2442
"16",2015,2612
"17",2016,2340
"18",2017,2068
"19",2018,3003
"20",2019,3090
"21",2020,3482
"22",2021,3210
"23",2022,1949
