word,sentiment,n
easy,positive,10320
hard,negative,7688
helpful,positive,4506
pretty,positive,4236
nice,positive,4075
difficult,negative,3897
boring,negative,3484
recommend,positive,3440
super,positive,3141
funny,positive,2837
fun,positive,2509
bad,negative,2298
fair,positive,2276
amazing,positive,2189
worst,negative,1530
confusing,negative,1069
horrible,negative,812
terrible,negative,781
challenging,negative,752
useless,negative,724
