"","Dept","count"
"1","Mathematics",5288
"2","Chemistry",3005
"3","History",2822
"4","Psychology",2648
"5","Economics",2597
"6","English",1926
"7","Sociology",1869
"8","Writing",1861
"9","Biology",1826
"10","Physics",1555
